disease,edge_type,target,target_type,notes
Type 2 Diabetes Mellitus,HAS_SYMPTOM,Polyuria,Symptom,
Type 2 Diabetes Mellitus,HAS_SYMPTOM,Polydipsia,Symptom,
Type 2 Diabetes Mellitus,HAS_SYMPTOM,Fatigue,Symptom,
Type 2 Diabetes Mellitus,HAS_SYMPTOM,Blurred Vision,Symptom,
Type 2 Diabetes Mellitus,HAS_SYMPTOM,Unintentional Weight Loss,Symptom,
Type 2 Diabetes Mellitus,INDICATES_LAB,HbA1c,LabTest,
Type 2 Diabetes Mellitus,INDICATES_LAB,Glucose,LabTest,
Type 2 Diabetes Mellitus,INDICATES_LAB,Urine Microalbumin,LabTest,screens for diabetic nephropathy
Type 2 Diabetes Mellitus,INDICATES_LAB,Creatinine,LabTest,renal function baseline before metformin
Type 2 Diabetes Mellitus,FIRST_LINE_TREATMENT,Metformin,Drug,ADA 2023 first-line for T2DM
Type 2 Diabetes Mellitus,FIRST_LINE_TREATMENT,Empagliflozin,Drug,SGLT2 inhibitor; preferred with comorbid CKD/HF (ADA 2023)
Type 2 Diabetes Mellitus,CONTRAINDICATED_WITH,Metformin,Drug,contraindicated if eGFR<30
Type 2 Diabetes Mellitus,CONTRAINDICATED_WITH,Prednisone,Drug,worsens glycemic control
Chronic Kidney Disease Stage 3,CONTRAINDICATED_WITH,Empagliflozin,Drug,use with caution below eGFR 20-25; monitor volume status
Essential Hypertension,HAS_SYMPTOM,Headache,Symptom,
Essential Hypertension,HAS_SYMPTOM,Dizziness,Symptom,
Essential Hypertension,HAS_SYMPTOM,Blurred Vision,Symptom,severe/uncontrolled hypertension
Essential Hypertension,INDICATES_LAB,Creatinine,LabTest,
Essential Hypertension,INDICATES_LAB,Potassium,LabTest,baseline before ACE inhibitor/ARB
Essential Hypertension,INDICATES_LAB,Urine Microalbumin,LabTest,screens for hypertensive nephropathy
Essential Hypertension,FIRST_LINE_TREATMENT,Lisinopril,Drug,ACE inhibitor (ACC/AHA 2023)
Essential Hypertension,FIRST_LINE_TREATMENT,Amlodipine,Drug,calcium channel blocker
Essential Hypertension,FIRST_LINE_TREATMENT,Hydrochlorothiazide,Drug,thiazide diuretic
Essential Hypertension,CONTRAINDICATED_WITH,Lisinopril,Drug,contraindicated if hyperkalemia present
Essential Hypertension,CONTRAINDICATED_WITH,NSAIDs,Drug,blunts antihypertensive effect; raises BP
Chronic Kidney Disease Stage 3,HAS_SYMPTOM,Fatigue,Symptom,
Chronic Kidney Disease Stage 3,HAS_SYMPTOM,Edema,Symptom,
Chronic Kidney Disease Stage 3,HAS_SYMPTOM,Nocturia,Symptom,
Chronic Kidney Disease Stage 3,INDICATES_LAB,Creatinine,LabTest,
Chronic Kidney Disease Stage 3,INDICATES_LAB,eGFR,LabTest,
Chronic Kidney Disease Stage 3,INDICATES_LAB,Potassium,LabTest,
Chronic Kidney Disease Stage 3,INDICATES_LAB,Urine Microalbumin,LabTest,KDIGO 2022 staging/monitoring
Chronic Kidney Disease Stage 3,INDICATES_LAB,Hemoglobin,LabTest,screens for CKD-associated anemia
Chronic Kidney Disease Stage 3,FIRST_LINE_TREATMENT,Lisinopril,Drug,"ACE inhibitor, first-line for HTN+CKD (KDIGO 2022)"
Chronic Kidney Disease Stage 3,CONTRAINDICATED_WITH,Lisinopril,Drug,contraindicated if hyperkalemia
Chronic Kidney Disease Stage 3,CONTRAINDICATED_WITH,Metformin,Drug,use with caution/contraindicated if eGFR<30
Chronic Kidney Disease Stage 3,CONTRAINDICATED_WITH,NSAIDs,Drug,nephrotoxic
Chronic Kidney Disease Stage 3,CONTRAINDICATED_WITH,Nitrofurantoin,Drug,reduced efficacy and toxicity risk if eGFR<30
Chronic Kidney Disease Stage 4,HAS_SYMPTOM,Edema,Symptom,
Chronic Kidney Disease Stage 4,HAS_SYMPTOM,Nausea,Symptom,
Chronic Kidney Disease Stage 4,HAS_SYMPTOM,Fatigue,Symptom,
Chronic Kidney Disease Stage 4,HAS_SYMPTOM,Pruritus,Symptom,
Chronic Kidney Disease Stage 4,INDICATES_LAB,Creatinine,LabTest,
Chronic Kidney Disease Stage 4,INDICATES_LAB,eGFR,LabTest,
Chronic Kidney Disease Stage 4,INDICATES_LAB,Potassium,LabTest,
Chronic Kidney Disease Stage 4,INDICATES_LAB,Hemoglobin,LabTest,CKD-associated anemia
Chronic Kidney Disease Stage 4,INDICATES_LAB,Phosphate,LabTest,CKD-mineral bone disease
Chronic Kidney Disease Stage 4,CONTRAINDICATED_WITH,Metformin,Drug,contraindicated eGFR<30
Chronic Kidney Disease Stage 4,CONTRAINDICATED_WITH,NSAIDs,Drug,nephrotoxic
Chronic Kidney Disease Stage 4,CONTRAINDICATED_WITH,Nitrofurantoin,Drug,contraindicated eGFR<30
Chronic Kidney Disease Stage 5,HAS_SYMPTOM,Edema,Symptom,
Chronic Kidney Disease Stage 5,HAS_SYMPTOM,Pruritus,Symptom,
Chronic Kidney Disease Stage 5,HAS_SYMPTOM,Nausea,Symptom,
Chronic Kidney Disease Stage 5,HAS_SYMPTOM,Fatigue,Symptom,uremia
Chronic Kidney Disease Stage 5,INDICATES_LAB,Creatinine,LabTest,
Chronic Kidney Disease Stage 5,INDICATES_LAB,Potassium,LabTest,
Chronic Kidney Disease Stage 5,INDICATES_LAB,eGFR,LabTest,
Chronic Kidney Disease Stage 5,INDICATES_LAB,BUN,LabTest,uremia monitoring
Chronic Kidney Disease Stage 5,INDICATES_LAB,Hemoglobin,LabTest,CKD-associated anemia; ESA candidacy
Chronic Kidney Disease Stage 5,CONTRAINDICATED_WITH,Metformin,Drug,contraindicated
Chronic Kidney Disease Stage 5,CONTRAINDICATED_WITH,NSAIDs,Drug,nephrotoxic
Chronic Kidney Disease Stage 5,CONTRAINDICATED_WITH,Nitrofurantoin,Drug,contraindicated eGFR<30
Congestive Heart Failure,HAS_SYMPTOM,Dyspnea,Symptom,
Congestive Heart Failure,HAS_SYMPTOM,Edema,Symptom,
Congestive Heart Failure,HAS_SYMPTOM,Orthopnea,Symptom,
Congestive Heart Failure,HAS_SYMPTOM,Fatigue,Symptom,
Congestive Heart Failure,HAS_SYMPTOM,Paroxysmal Nocturnal Dyspnea,Symptom,
Congestive Heart Failure,INDICATES_LAB,BNP,LabTest,
Congestive Heart Failure,INDICATES_LAB,Sodium,LabTest,
Congestive Heart Failure,INDICATES_LAB,Potassium,LabTest,monitor with diuretics/ACE inhibitor
Congestive Heart Failure,INDICATES_LAB,Creatinine,LabTest,cardiorenal monitoring
Congestive Heart Failure,FIRST_LINE_TREATMENT,Furosemide,Drug,loop diuretic for congestion (ACC/AHA 2023)
Congestive Heart Failure,FIRST_LINE_TREATMENT,Lisinopril,Drug,"ACE inhibitor, mortality benefit in HFrEF"
Congestive Heart Failure,FIRST_LINE_TREATMENT,Metoprolol,Drug,"beta-blocker, mortality benefit in HFrEF"
Congestive Heart Failure,CONTRAINDICATED_WITH,NSAIDs,Drug,worsens fluid retention
Chronic Kidney Disease Stage 3,CONTRAINDICATED_WITH,Furosemide,Drug,dose adjustment required; monitor renal function
Atrial Fibrillation,HAS_SYMPTOM,Palpitations,Symptom,
Atrial Fibrillation,HAS_SYMPTOM,Fatigue,Symptom,
Atrial Fibrillation,HAS_SYMPTOM,Dyspnea,Symptom,
Atrial Fibrillation,HAS_SYMPTOM,Dizziness,Symptom,
Atrial Fibrillation,INDICATES_LAB,INR(PT),LabTest,
